#  USTHB University of Science and Technologies, Algiers
#  Candidate Model for DGRF 2020
#n        m            gnm         hnm   uncertainty gnm  uncertainty hnm
1         0        -29402.27        0.00            0.0       0.0
1         1         -1451.72     4656.11            0.0       0.0
2         0         -2498.67        0.00            0.0       0.0
2         1          2982.46    -2989.74            0.0       0.0
2         2          1677.00     -732.48            0.0       0.0
3         0          1362.62        0.00            0.0       0.0
3         1         -2380.45      -82.36            0.0       0.0
3         2          1235.83      241.82            0.0       0.0
3         3           526.81     -542.67            0.0       0.0
4         0           902.69        0.00            0.0       0.0
4         1           809.46      282.29            0.0       0.0
4         2            86.80     -159.02            0.0       0.0
4         3          -310.26      199.42            0.0       0.0
4         4            48.19     -349.59            0.0       0.0
5         0          -234.38        0.00            0.0       0.0
5         1           363.15       47.53            0.0       0.0
5         2           188.04      207.88            0.0       0.0
5         3          -140.68     -121.30            0.0       0.0
5         4          -151.23       31.72            0.0       0.0
5         5            13.69       99.01            0.0       0.0
6         0            66.02        0.00            0.0       0.0
6         1            65.48      -18.96            0.0       0.0
6         2            72.83       25.35            0.0       0.0
6         3          -121.63       53.02            0.0       0.0
6         4           -35.91      -64.51            0.0       0.0
6         5            13.59        8.96            0.0       0.0
6         6           -64.83       67.89            0.0       0.0
7         0            80.71        0.00            0.0       0.0
7         1           -76.43      -51.65            0.0       0.0
7         2            -8.17      -17.00            0.0       0.0
7         3            56.42        2.32            0.0       0.0
7         4            15.74       23.62            0.0       0.0
7         5             6.43       -2.02            0.0       0.0
7         6            -7.10      -27.25            0.0       0.0
7         7             9.68       -1.90            0.0       0.0
8         0            23.73        0.00            0.0       0.0
8         1             9.71        8.41            0.0       0.0
8         2           -17.51      -15.23            0.0       0.0
8         3            -0.55       12.87            0.0       0.0
8         4           -21.07      -11.79            0.0       0.0
8         5            15.28       14.95            0.0       0.0
8         6            13.54        3.66            0.0       0.0
8         7           -16.62       -6.90            0.0       0.0
8         8            -0.29        2.86            0.0       0.0
9         0             5.07        0.00            0.0       0.0
9         1             8.57      -23.60            0.0       0.0
9         2             2.84       10.89            0.0       0.0
9         3            -1.53        9.84            0.0       0.0
9         4            -1.10       -5.18            0.0       0.0
9         5           -13.19       -6.24            0.0       0.0
9         6             1.05        7.82            0.0       0.0
9         7             8.79        0.39            0.0       0.0
9         8            -9.26       -1.54            0.0       0.0
9         9           -11.74        9.64            0.0       0.0
10        0            -1.79        0.00            0.0       0.0
10        1            -6.23        3.35            0.0       0.0
10        2            -0.09       -0.12            0.0       0.0
10        3             1.63        3.57            0.0       0.0
10        4            -0.87        4.86            0.0       0.0
10        5             0.73       -8.58            0.0       0.0
10        6            -0.86       -0.13            0.0       0.0
10        7             1.84       -4.21            0.0       0.0
10        8             1.49       -3.40            0.0       0.0
10        9            -2.35       -0.14            0.0       0.0
10        10           -3.82       -8.83            0.0       0.0
11        0             2.94        0.00            0.0       0.0
11        1            -1.31       -0.02            0.0       0.0
11        2            -2.53        2.33            0.0       0.0
11        3             2.25       -0.60            0.0       0.0
11        4            -0.87       -0.41            0.0       0.0
11        5             0.33        0.62            0.0       0.0
11        6            -0.67       -0.22            0.0       0.0
11        7            -0.09       -1.65            0.0       0.0
11        8             1.45       -1.61            0.0       0.0
11        9            -0.55       -2.97            0.0       0.0
11        10            0.23       -1.98            0.0       0.0
11        11            3.11       -2.47            0.0       0.0
12        0            -1.97        0.00            0.0       0.0
12        1            -0.10       -1.10            0.0       0.0
12        2             0.46        0.59            0.0       0.0
12        3             1.31        1.43            0.0       0.0
12        4            -1.12       -1.78            0.0       0.0
12        5             0.74        0.08            0.0       0.0
12        6             0.30        0.70            0.0       0.0
12        7             0.47       -0.14            0.0       0.0
12        8            -0.29        0.50            0.0       0.0
12        9            -0.46        0.18            0.0       0.0
12        10            0.15       -0.92            0.0       0.0
12        11           -1.12       -0.03            0.0       0.0
12        12           -0.29        0.56            0.0       0.0
13        0             0.08        0.00            0.0       0.0
13        1            -0.90       -0.71            0.0       0.0
13        2             0.56        0.50            0.0       0.0
13        3             0.65        1.29            0.0       0.0
13        4            -0.33       -0.34            0.0       0.0
13        5             0.76       -1.25            0.0       0.0
13        6            -0.01       -0.11            0.0       0.0
13        7             0.71        0.29            0.0       0.0
13        8            -0.06       -0.10            0.0       0.0
13        9             0.36        0.43            0.0       0.0
13        10            0.13        0.47            0.0       0.0
13        11            0.45       -0.37            0.0       0.0
13        12           -0.47       -0.35            0.0       0.0
13        13           -0.37       -0.54            0.0       0.0
