# NOAA National Centers for Environmental Information
# Candidate for 2025 Main Field (IGRF)
# n   m        gnm        hnm  uncertainty_gnm  uncertainty_hnm
  1   0  -29350.91       0.00             0.00             0.00
  1   1   -1411.16    4545.25             0.00             0.00
  2   0   -2556.17       0.00             0.00             0.00
  2   1    2951.10   -3133.63             0.00             0.00
  2   2    1649.67    -815.48             0.00             0.00
  3   0    1361.07       0.00             0.00             0.00
  3   1   -2404.25     -56.60             0.00             0.00
  3   2    1243.76     237.44             0.00             0.00
  3   3     453.79    -549.42             0.00             0.00
  4   0     895.27       0.00             0.00             0.00
  4   1     799.60     278.57             0.00             0.00
  4   2      55.76    -133.98             0.00             0.00
  4   3    -281.23     212.03             0.00             0.00
  4   4      12.14    -375.58             0.00             0.00
  5   0    -233.28       0.00             0.00             0.00
  5   1     368.72      45.46             0.00             0.00
  5   2     187.15     220.15             0.00             0.00
  5   3    -138.76    -122.89             0.00             0.00
  5   4    -141.99      42.91             0.00             0.00
  5   5      20.82     106.12             0.00             0.00
  6   0      64.49       0.00             0.00             0.00
  6   1      63.83     -18.52             0.00             0.00
  6   2      76.83      16.68             0.00             0.00
  6   3    -115.72      48.79             0.00             0.00
  6   4     -40.83     -59.77             0.00             0.00
  6   5      14.81      10.97             0.00             0.00
  6   6     -60.73      72.58             0.00             0.00
  7   0      79.41       0.00             0.00             0.00
  7   1     -77.14     -48.80             0.00             0.00
  7   2      -8.77     -14.34             0.00             0.00
  7   3      59.26      -1.02             0.00             0.00
  7   4      15.77      23.46             0.00             0.00
  7   5       2.51      -7.33             0.00             0.00
  7   6     -11.18     -25.07             0.00             0.00
  7   7      14.16      -2.36             0.00             0.00
  8   0      23.28       0.00             0.00             0.00
  8   1      10.88       7.05             0.00             0.00
  8   2     -17.47     -12.61             0.00             0.00
  8   3       2.09      11.38             0.00             0.00
  8   4     -21.69      -9.64             0.00             0.00
  8   5      16.92      12.70             0.00             0.00
  8   6      14.88       0.63             0.00             0.00
  8   7     -16.76      -5.15             0.00             0.00
  8   8       0.85       3.83             0.00             0.00
  9   0       4.51       0.00             0.00             0.00
  9   1       7.69     -24.77             0.00             0.00
  9   2       3.02      12.31             0.00             0.00
  9   3      -0.15       8.32             0.00             0.00
  9   4      -2.53      -3.36             0.00             0.00
  9   5     -13.14      -5.16             0.00             0.00
  9   6       2.35       7.23             0.00             0.00
  9   7       8.55      -0.64             0.00             0.00
  9   8      -8.72       0.75             0.00             0.00
  9   9     -12.80      10.01             0.00             0.00
 10   0      -1.30       0.00             0.00             0.00
 10   1      -6.37       3.21             0.00             0.00
 10   2       0.28       0.03             0.00             0.00
 10   3       2.06       2.48             0.00             0.00
 10   4      -0.95       5.27             0.00             0.00
 10   5      -0.57      -9.03             0.00             0.00
 10   6      -0.85       0.34             0.00             0.00
 10   7       1.53      -4.10             0.00             0.00
 10   8       0.95      -3.78             0.00             0.00
 10   9      -2.61       0.97             0.00             0.00
 10  10      -3.86      -9.06             0.00             0.00
 11   0       2.90       0.00             0.00             0.00
 11   1      -1.65       0.01             0.00             0.00
 11   2      -2.46       2.96             0.00             0.00
 11   3       2.39      -0.57             0.00             0.00
 11   4      -0.64       0.15             0.00             0.00
 11   5      -0.07       0.51             0.00             0.00
 11   6      -0.55      -0.26             0.00             0.00
 11   7      -0.10      -1.14             0.00             0.00
 11   8       1.06      -1.73             0.00             0.00
 11   9      -0.96      -2.80             0.00             0.00
 11  10      -0.26      -1.79             0.00             0.00
 11  11       2.65      -2.34             0.00             0.00
 12   0      -1.97       0.00             0.00             0.00
 12   1      -0.18      -1.38             0.00             0.00
 12   2       0.36       0.63             0.00             0.00
 12   3       1.30       0.95             0.00             0.00
 12   4      -1.23      -1.57             0.00             0.00
 12   5       0.55       0.03             0.00             0.00
 12   6       0.56       0.59             0.00             0.00
 12   7       0.48      -0.14             0.00             0.00
 12   8      -0.13       0.76             0.00             0.00
 12   9      -0.45       0.17             0.00             0.00
 12  10      -0.17      -0.97             0.00             0.00
 12  11      -1.22       0.12             0.00             0.00
 12  12      -0.59       0.28             0.00             0.00
 13   0       0.15       0.00             0.00             0.00
 13   1      -1.10      -0.98             0.00             0.00
 13   2       0.58       0.91             0.00             0.00
 13   3       0.82       1.28             0.00             0.00
 13   4      -0.18      -0.32             0.00             0.00
 13   5       0.47      -1.23             0.00             0.00
 13   6       0.14      -0.05             0.00             0.00
 13   7       0.63       0.25             0.00             0.00
 13   8      -0.09      -0.25             0.00             0.00
 13   9       0.30       0.51             0.00             0.00
 13  10       0.11       0.66             0.00             0.00
 13  11       0.44      -0.61             0.00             0.00
 13  12      -0.48      -0.27             0.00             0.00
 13  13      -0.45      -0.42             0.00             0.00
